Quale caratteristica principale definisce il protocollo TCP/IP menzionata nel materiale?,È un protocollo 'connection oriented' (orientato alla connessione).
"In TCP/IP, da cosa è identificata univocamente ogni connessione?",Da due coppie: server-host:port e client-host:port.
Quale caratteristica fondamentale definisce il protocollo HTTP/HTTPS?,"È un protocollo 'stateless' (senza stato), dove ogni richiesta è indipendente dalle precedenti."
"In HTTP, come è possibile identificare la sessione di un client se non tramite la connessione stessa?","Attraverso gli header, utilizzando Cookies o Bearer token."
Quali sono le quattro componenti principali di una richiesta HTTP?,"URL, Metodo, Headers e Body."
Quali sono le tre componenti principali di una risposta HTTP?,"Stato (Status), Headers e Body."
"Nel protocollo HTTP, cosa indicano i codici di stato del gruppo '2xx'?",Indicano il successo dell'operazione (Success).
"Nel protocollo HTTP, cosa indicano i codici di stato del gruppo '4xx'?",Indicano un errore da parte del client (Client Error).
"Nel protocollo HTTP, cosa indicano i codici di stato del gruppo '5xx'?",Indicano un errore da parte del server (Server Error).
Quale metodo HTTP viene tipicamente utilizzato per richiedere una risorsa da un server?,Il metodo GET.
Quale metodo HTTP viene comunemente usato per inviare dati a un server per creare una nuova risorsa?,Il metodo POST.
Quale metodo HTTP è utilizzato per aggiornare completamente una risorsa esistente sul server?,Il metodo PUT.
Quale metodo HTTP viene utilizzato per eliminare una risorsa specificata?,Il metodo DELETE.
"Nell'esempio di messaggio HTTP, quale codice di stato indica una redirezione dopo una richiesta POST andata a buon fine?",Il codice di stato '303 See Other'.
"Nel contesto di TLS, come fa il mittente a cifrare un messaggio?",Il mittente cifra il messaggio utilizzando la chiave pubblica del destinatario.
"In TLS, come fa il destinatario a decifrare un messaggio cifrato con la sua chiave pubblica?",Il destinatario decifra il messaggio usando la propria chiave privata corrispondente.
Chi genera e firma le chiavi utilizzate nel protocollo TLS?,Una Certificate Authority (CA).
Cos'è la 'Certificate Chain' in TLS?,È una catena gerarchica di certificati che permette di validare un certificato fino a una Root CA fidata.
Qual è lo scopo principale di un 'Client Certificate' in TLS?,"Identifica l'account del client, fornendo un meccanismo di autenticazione."
Cosa fornisce Let's Encrypt?,È una Certificate Authority no-profit che fornisce certificati TLS gratuiti.
Cos'è acme.sh?,È un client del protocollo ACME scritto in linguaggio Shell (Unix shell) per ottenere certificati TLS.
Quali sono le tre principali modalità di comunicazione tra microservizi menzionate?,"SOAP, REST/Websocket, e gRPC."
Cos'è SOAP (Simple Object Access Protocol)?,"È uno standard W3C per inviare messaggi a oggetti remoti, tipicamente usando XML."
"Nel contesto dei web service SOAP, a cosa serve il WSDL?",Il WSDL (Web Services Description Language) serve per la definizione del servizio.
"In un'architettura Java per SOAP, a cosa serve JAX-WS?",Serve per il mapping tra oggetti Java e il web service (Java Object <-> Web service).
"In un'architettura Java per SOAP, a cosa serve JAXB?",Serve per il mapping tra oggetti Java e il contenuto XML (Java Object <-> XML content).
Quale standard sfrutta un servizio web RESTful?,Sfrutta lo standard HTTP.
"Nel Richardson Maturity Model, cosa rappresenta il 'Level 3'?","Rappresenta HATEOAS (Hypermedia as the Engine of Application State), ovvero il linking tra risorse."
Quale formato di messaggio è più comunemente usato nei servizi web RESTful?,Il formato JSON (JavaScript Object Notation).
Quale strumento è menzionato per testare i servizi web RESTful?,Postman.
Da chi è stato sviluppato GraphQL?,È stato sviluppato da Facebook.
"In GraphQL, quale parte del sistema definisce le 'queries' e le 'mutations'?",Il client definisce le 'queries' (interrogazioni) e le 'mutations' (modifiche).
Cosa enuncia il 'Principio del privilegio minimo' (Principle of least privilege) in sicurezza informatica?,"Enuncia che a un'entità (utente, processo) devono essere concessi solo i permessi strettamente necessari per svolgere le sue funzioni."
Cosa si deve sempre fare con l'input proveniente dal client secondo le buone pratiche di sicurezza?,Si deve sempre validare e sanificare l'input del client (Validate / sanitize client input).
"Secondo la lista OWASP Top 10, 'Broken Object Level Authorization' è la vulnerabilità numero _____.",1
"Secondo la lista OWASP Top 10, 'Broken Authentication' è la vulnerabilità numero _____.",2
"Secondo la lista OWASP Top 10, 'Server Side Request Forgery' è la vulnerabilità numero _____.",7
Quale tecnologia viene utilizzata per la descrizione semantica dei documenti web?,HTML (HyperText Markup Language).
Quale tecnologia è un linguaggio di fogli di stile usato per descrivere l'aspetto di un documento HTML?,CSS (Cascading Style Sheets).
Quale tecnologia permette di effettuare richieste asincrone al server e aggiornare la pagina in modo incrementale?,AJAX (Asynchronous JavaScript and XML).
Quale tecnologia stabilisce una connessione HTTP persistente per una comunicazione bidirezionale veloce?,WebSocket.
Come viene avviata una connessione WebSocket?,Attraverso un header HTTP specifico che richiede di 'aggiornare' il protocollo (Upgrade).
Cos'è un Web Server?,È un software che può ricevere e rispondere a messaggi HTTP.
Cos'è un Proxy in una rete?,"È un intermediario tra un client e un web server che gestisce cache, sicurezza e privacy."
Qual è la differenza tra un Forward Proxy e un Reverse Proxy?,"Un Forward Proxy agisce per conto dei client (da rete interna a esterna), mentre un Reverse Proxy agisce per conto dei server (da rete esterna a interna)."
Cos'è SNI (Server Name Indication)?,È un'estensione del protocollo TLS che permette a un server di presentare certificati multipli sullo stesso indirizzo IP e porta.
A cosa serve un JWT (JSON Web Token)?,Serve per autorizzare un client in un server stateless.
Qual è lo scopo di WebRTC?,Permettere la comunicazione in tempo reale (Real-time communication) tra browser.
Cos'è WebAssembly?,"È un formato binario eseguibile nel browser o sul server, interoperabile con Javascript."
A cosa serve CORS (Cross-Origin Resource Sharing)?,"Serve ad abilitare richieste a domini di backend multipli, una politica di sicurezza applicata dai browser."
Qual è la funzione di un API Gateway?,"Agisce come punto di ingresso unico per più servizi di backend, applicando policy di sicurezza e monitoraggio."
